Couteau [kuto],Faca,Nombre de 24 Segment Couteau 100092 Produits pour,Substantivo
"Monsieur [mәsjø, mesjø]",Senhor,Monsieur la température augmente dans le coeur.,Substantivo
Madame [madam],Senhora,"Ça n'arrivera plus, Madame.",Substantivo
Mademoiselle [mad(ә)mwazɛl],Menina,"Mademoiselle, je veux ma propre table.",Substantivo
"Grand [gʀɑ̃, gʀɑ̃d] ",Grande,Grand salon ouvert menant à la cuisine.,Adjetivo
Rectangulaire [ʀɛktɑ̃gylɛʀ],Retangular,Rectangulaire - les points sont situés directement dans les nœuds de la grille.,Adjetivo
"Long [lɔ̃, lɔ̃g]",Longo,Long au crochet motif collier gratuite sur Ravelry,Substantivo
"Rond [ʀɔ̃, ʀɔ̃d]",Redondo,Délicat Rond Fleur en soie Bouquets de...,Substantivo
Mince [mɛ̃s],Fino,"Mince, vent-résistant et avec à faible bruit.",Adjetivo
Étroit [etʀwa],Estreito,Notre prochain arrêt était l'Étroit de Magellan.,Adjetivo
Pointu [pwɛ̃ty],Afiado,"en août 1930, Subvention Bois, un américain peintre Formation européenne, était conduit vers la ville par un jeune peintre fromeldon, Iowa, John Pointu, à la recherche de inspirent.",Adjetivo
"Court [kuʀ, kuʀt]",Curto,Court promotionnel conçu par le studio d'animation de l'Axe pour le jeu vidéo Dead Island.,Adjetivo
Large [laʀʒ],Amplo,Large Espace thématiques Rideaux de motifs de fleur pour...,Adjetivo
"Bas [bɑ, bɑs]",Baixo,Bas ou haut peut être un défaut électrique.,Advérbio
Carré [kaʀe],Quadrado,C'est Carré Tiananmen dans le centre de Beijing.,Substantivo
Épais [epɛ],Grosso,"Épais, noir de jais, des reflets parfaits.",Adjetivo
"Gros [gʀo, gʀos]",Grande,"Gros, retentissant, beaucoup de questions.",Adjetivo
"Haut [′o, ′ot]",Alto,Le Haut Commandement gère la crise...,Substantivo
Petit [p(ә)ti],Pequeno,Petit bateau ira pas plus loin.,Adjetivo
Chapeau [ʃapo],Chapéu,Chapeau et chaussures dans le bac.,Substantivo
Manteau [mɑ̃to],Casaco,Moncler Hommes Manteau avec ceinture à long Brown,Substantivo
Bateau [bato],Barco,Bateau avec Jaunit voile chine George Chinnery,Substantivo
Bois [bwa],Madeira,Logistique et distribution. Bois en général.,Substantivo
Cuir [kɥiʀ],Couro,"Cuir confortable, un peu plus facile à nettoyer.",Substantivo
Encrier [ɑ̃kʀije],Tinteiro,Il me faut un nouvel encrier dans ma chambre.,Substantivo
Fer [fɛʀ],Ferro,Fer préfabriqué en acier structure du bâtiment pour...,Substantivo
Papier [papje],Papel,Papier toilette haute qualité adapté aux sanitaires.,Substantivo
Soulier [sulje],Sapato,Soulier de satin de soie avec des détails en dentelle,Substantivo
Verre [vɛʀ],Vidro,Verre creux filament HS4 également disponible.,Substantivo
Étoffe [etɔf],Tecido,"Pour plus de stabilité, vous pouvez également agrafer l'étoffe sur les lattes latérales.",Substantivo
Pierre [pjɛʀ],Pedra,La Pierre réagit aux matières vivantes.,Substantivo
Léger [leʒe],Leve,Léger classe D amplificateur puissance 150W.,Adjetivo
Lourd [luʀ],Pesado,"Lourd, neige mouillée a ralenti de conduite et tout autour de voyage, printemps interrompre brutalement.",Adjetivo
